Unnamed: 0,ticket_id,UID,currency,sales,quantity,date
0,202405070796784,efc0b907-60c4-51ea-9b08-4153e9c33e80efc0b907-60c4-51ea-9b08-4153e9c33e80,USD,140.0,1,2024-05-07
1,202405070580893,565c8677-481d-5c84-bf73-d8f0ef45a5bf5d07bc77-8d80-5aad-8dfd-eabcde61634a,USD,375.0,3,2024-05-07
2,202405070046035,565c8677-481d-5c84-bf73-d8f0ef45a5bf97cc5f79-454b-54f9-a22d-0f02bb74d2ad,USD,250.0,2,2024-05-07
3,202405070746299,565c8677-481d-5c84-bf73-d8f0ef45a5bf97cc5f79-454b-54f9-a22d-0f02bb74d2ad,USD,250.0,2,2024-05-07
4,202405070617511,5347ce15-e02f-54e3-a6c2-f78b3ae3144a5347ce15-e02f-54e3-a6c2-f78b3ae3144a,USD,360.0,4,2024-05-07
5,202405070580622,5347ce15-e02f-54e3-a6c2-f78b3ae3144a5347ce15-e02f-54e3-a6c2-f78b3ae3144a,USD,360.0,4,2024-05-07
6,202405070124698,913cf24f-f730-5f53-a9c1-53e6afa21c17913cf24f-f730-5f53-a9c1-53e6afa21c17,USD,900.0,5,2024-05-07
7,202405070576810,913cf24f-f730-5f53-a9c1-53e6afa21c17f4f82cef-e0a1-5da0-8bd1-0d52b967f6c3,USD,180.0,1,2024-05-07
8,202405070518024,913cf24f-f730-5f53-a9c1-53e6afa21c17f4f82cef-e0a1-5da0-8bd1-0d52b967f6c3,USD,360.0,2,2024-05-07
9,202405070142222,913cf24f-f730-5f53-a9c1-53e6afa21c172a97d29b-67c7-540d-a71a-f1e5187aa547,USD,180.0,1,2024-05-07
10,202405070081149,893adfab-e4e2-5c81-8a6a-77dea3ed2025893adfab-e4e2-5c81-8a6a-77dea3ed2025,USD,420.0,3,2024-05-07
11,202405070958292,893adfab-e4e2-5c81-8a6a-77dea3ed2025893adfab-e4e2-5c81-8a6a-77dea3ed2025,USD,140.0,1,2024-05-07
12,202405070659347,02577b93-d5ba-5571-be0a-32ee94899d2f02577b93-d5ba-5571-be0a-32ee94899d2f,USD,575.0,5,2024-05-07
13,202405070127260,02577b93-d5ba-5571-be0a-32ee94899d2f02577b93-d5ba-5571-be0a-32ee94899d2f,USD,460.0,4,2024-05-07
14,202405070129777,02577b93-d5ba-5571-be0a-32ee94899d2fd3f63f23-d09a-55fd-98b5-ae150fcdcc55,USD,460.0,4,2024-05-07
15,202405070037549,02577b93-d5ba-5571-be0a-32ee94899d2fd3f63f23-d09a-55fd-98b5-ae150fcdcc55,USD,115.0,1,2024-05-07
16,202405070261193,02577b93-d5ba-5571-be0a-32ee94899d2fb46c4ee6-fd6f-5e89-95a1-dbdf654291e7,USD,460.0,4,2024-05-07
17,202405070896379,02577b93-d5ba-5571-be0a-32ee94899d2fb46c4ee6-fd6f-5e89-95a1-dbdf654291e7,USD,115.0,1,2024-05-07
18,202405070075374,02577b93-d5ba-5571-be0a-32ee94899d2f0eadd0b0-04a1-51c8-b0a6-09f353783f5c,USD,460.0,4,2024-05-07
19,202405070447411,4199b7bf-6fd5-5f68-8a46-49dcc28579f1e8dac009-5bf1-58fd-b5eb-f6e9e03da987,USD,720.0,4,2024-05-07
20,202405070398767,4199b7bf-6fd5-5f68-8a46-49dcc28579f1e8dac009-5bf1-58fd-b5eb-f6e9e03da987,USD,900.0,5,2024-05-07
21,202405070284570,4199b7bf-6fd5-5f68-8a46-49dcc28579f187f4a4dc-5ca8-5ee1-b552-c04c3efd3fa2,USD,180.0,1,2024-05-07
22,202405070309962,4199b7bf-6fd5-5f68-8a46-49dcc28579f187f4a4dc-5ca8-5ee1-b552-c04c3efd3fa2,USD,900.0,5,2024-05-07
23,202405070763366,026793f0-8433-5ae2-96b3-aed49c437d6c53147e4d-03ff-5c43-8504-76d91e566750,USD,150.0,1,2024-05-07
24,202405070373965,026793f0-8433-5ae2-96b3-aed49c437d6c2dd8f9ad-46f2-5d4c-b9b9-77d10a016855,USD,300.0,2,2024-05-07
25,202405070771459,ea60e26c-be20-537d-8d9d-50c31a811a163a43033d-4900-583f-b480-beaf6dcd91a1,USD,380.0,2,2024-05-07
26,202405070018089,ea60e26c-be20-537d-8d9d-50c31a811a163a43033d-4900-583f-b480-beaf6dcd91a1,USD,760.0,4,2024-05-07
